pathway_name	n_plp	n_no_plp	OR	p	ci.int1	ci.int2	padj	cohort	perc_plp	fraction
Cocaine addiction	36	6259	1.90557929842519	0.0976419959625258	0.804253188404068	4.05052023756116	1	PMBB	0.5718824463860206	36/6295
Propanoate metabolism	1776	72247	1.38435822695214	0.10255445356193	0.895919389708702	2.0513763831716	1	gnomAD	2.3992542858300796	1776/74023
Hepatitis C	2073	71950	1.37003503408548	0.103012545903304	0.91551315623051	1.97837409136018	1	gnomAD	2.8004809316023396	2073/74023
Leishmaniasis	915	73108	1.54640185230955	0.10355581282163	0.85771213630671	2.58030481347027	1	gnomAD	1.2361022925307	915/74023
Thyroid hormone synthesis	286	6009	0.706486110358171	0.104057389385107	0.454388621158326	1.05835043089965	1	PMBB	4.54328832406672	286/6295
SNARE interactions in vesicular transport	3	6292	5.06414038798647	0.10670205366955	0.422395221308259	44.2687976813568	1	PMBB	0.04765687053216839	3/6295
Terpenoid backbone biosynthesis	611	73412	1.69658416826835	0.108454981439538	0.838940071694371	3.07448346511651	1	gnomAD	0.8254191264877133	611/74023
Amphetamine addiction	612	73411	1.69378869604957	0.108748243187064	0.837561374519553	3.06938010353902	1	gnomAD	0.8267700579549598	612/74023
DNA replication	350	73673	1.88181728895721	0.108906980207594	0.748566764236852	3.93720444691475	1	gnomAD	0.4728260135363333	350/74023
ErbB signaling pathway	933	73090	1.51618873462469	0.10933060613439	0.841038743582779	2.52958777029324	1	gnomAD	1.26041905894114	933/74023
Fluid shear stress and atherosclerosis	119	6176	1.47905835648274	0.110892671474999	0.897381604137554	2.3420569937946	1	PMBB	1.8903891977760126	119/6295
B cell receptor signaling pathway	480	73543	1.76557698343718	0.111773866075845	0.799414701082485	3.39731150515168	1	gnomAD	0.6484471042784	480/74023
Glucagon signaling pathway	191	6104	1.36497528280071	0.112215351854045	0.911634290231446	1.99073511205172	1	PMBB	3.034154090548054	191/6295
Base excision repair	1391	72632	1.42588175701214	0.113409464185852	0.874690531224844	2.20407690595944	1	gnomAD	1.8791456709401133	1391/74023
Selenocompound metabolism	20	6275	2.2841881854244	0.11348356632222	0.748442830677136	5.91998392369215	1	PMBB	0.3177124702144559	20/6295
Leukocyte transendothelial migration	981	73042	1.53911592640244	0.114869347842089	0.871826104321693	2.52834831996234	1	gnomAD	1.32526376936898	981/74023
Primary bile acid biosynthesis	630	73393	1.64498664412982	0.11499704506714	0.813562565546982	2.9802798899965	1	gnomAD	0.8510868243654	630/74023
Glycosphingolipid biosynthesis	46	6249	0.328168351701814	0.116636670017609	0.0385191593752642	1.25883794571288	1	PMBB	0.7307386814932486	46/6295
Relaxin signaling pathway	149	6146	1.38685427833632	0.122347705109043	0.878597227109981	2.11606828883918	1	PMBB	2.366957903097697	149/6295
GnRH secretion	149	6146	1.38685427833632	0.122347705109043	0.878597227109981	2.11606828883918	1	PMBB	2.366957903097697	149/6295
Other types of O-glycan biosynthesis	42	6253	1.81543006310131	0.123048185937679	0.80903321804267	3.694548131017	1	PMBB	0.6671961874503575	42/6295
Influenza A	1477	72546	1.40697009170344	0.123629395909844	0.873767453374522	2.15406395234118	1	gnomAD	1.9953257771233266	1477/74023
Chemical carcinogenesis	653	73370	1.58654114542585	0.125571848127529	0.784810366687951	2.87352913854386	1	gnomAD	0.8821582481120733	653/74023
Glycerophospholipid metabolism	1027	72996	1.46924976211787	0.12629398808445	0.832385912841534	2.41304392782235	1	gnomAD	1.3874066168623265	1027/74023
Metabolism of xenobiotics by cytochrome P450	43	6252	1.77293491195163	0.126984703214829	0.791298255263629	3.6001712510924	1	PMBB	0.6830818109610802	43/6295
Amphetamine addiction	43	6252	1.77293491195163	0.126984703214829	0.791298255263629	3.6001712510924	1	PMBB	0.6830818109610802	43/6295
Chemical carcinogenesis	56	6239	1.63424366020661	0.127427181438665	0.793863120151509	3.10091460177902	1	PMBB	0.8895949166004766	56/6295
Mineral absorption	156	6139	1.3738326882068	0.129929951256704	0.878275677832764	2.08003184711415	1	PMBB	2.478157267672756	156/6295
Linoleic acid metabolism	22	6273	2.07597277108567	0.130115406992324	0.686565779773885	5.29962342513489	1	PMBB	0.34948371723590155	22/6295
Non-alcoholic fatty liver disease	1809	72214	1.35848695525645	0.131388089167392	0.879225652333349	2.01287495624658	1	gnomAD	2.44383502424922	1809/74023
Pentose and glucuronate interconversions	517	73506	1.63838699481674	0.13294718363484	0.74214573116894	3.15082681523636	1	gnomAD	0.6984315685665267	517/74023
HIF-1 signaling pathway	1316	72707	1.43499009228152	0.134371215830868	0.868676310174454	2.24125121317155	1	gnomAD	1.7778258108966134	1316/74023
Spinocerebellar ataxia	137	6158	1.39585074074448	0.136323105346131	0.867306716715474	2.16499042804866	1	PMBB	2.1763304209690233	137/6295
Fc epsilon RI signaling pathway	287	73736	1.96619915975735	0.136511662053262	0.713383402167633	4.35166666932769	1	gnomAD	0.3877173310997933	287/74023
Basal transcription factors	709	73314	1.59490029392117	0.137138544354343	0.816619772980856	2.8197052494353	1	gnomAD	0.9578104102778866	709/74023
ABC transporters	439	5856	0.782694907105916	0.142112236982586	0.55947406367019	1.07305744503473	1	PMBB	6.973788721207308	439/6295
Alcoholism	63	6232	1.57388303949903	0.147987387856764	0.790971753475064	2.90503328009429	1	PMBB	1.0007942811755361	63/6295
Necroptosis	1741	72282	1.35677347243591	0.155155809381286	0.869964164366113	2.02532381999105	1	gnomAD	2.3519716844764464	1741/74023
Oxidative phosphorylation	1460	72563	1.3572276262274099	0.15829695854413	0.8326933541617	2.09765625688196	1	gnomAD	1.9723599421801332	1460/74023
Phenylalanine metabolism	1216	72807	1.39599930337469	0.159146386025545	0.820100196868343	2.23083696437361	1	gnomAD	1.6427326641719464	1216/74023
Cardiac muscle contraction	168	6127	0.671264432505993	0.160872179469954	0.365623393593979	1.14644016692881	1	PMBB	2.66878474980143	168/6295
Neuroactive ligand-receptor interaction	3237	70786	1.25878172891788	0.161060226486878	0.901451307219319	1.7163436210823	1	gnomAD	4.3729651594774595	3237/74023
Terpenoid backbone biosynthesis	52	6243	1.61235809433763	0.163899458512384	0.755452081052912	3.14401650765163	1	PMBB	0.8260524225575853	52/6295
Rheumatoid arthritis	88	6207	1.47478342848106	0.165233322391652	0.818008968738686	2.5133244228746	1	PMBB	1.3979348689436062	88/6295
Carbon metabolism	4290	69733	1.21633911279316	0.168100007877885	0.90584922811703	1.60406559643327	1	gnomAD	5.7954959944882	4290/74023
Thyroid hormone synthesis	3002	71021	0.741237967033114	0.172333902401264	0.471201837037361	1.11352819769217	1	gnomAD	4.055496264674493	3002/74023
Viral myocarditis	139	6156	1.3753237737633	0.173882396452748	0.854949846635468	2.13193156224047	1	PMBB	2.208101667990469	139/6295
B cell receptor signaling pathway	40	6255	1.71405715193488	0.17391127747168	0.728601648685109	3.60529193274875	1	PMBB	0.6354249404289118	40/6295
Yersinia infection	1064	72959	1.41744329525542	0.174158897000125	0.803134245733585	2.32758094271511	1	gnomAD	1.437391081150453	1064/74023
HIF-1 signaling pathway	115	6180	1.3948809347899	0.175695700362671	0.826926862565017	2.24966327478549	1	PMBB	1.8268467037331215	115/6295
Hepatitis C	203	6092	1.28177755077213	0.181541370766898	0.857440334151761	1.8658102074616	1	PMBB	3.224781572676728	203/6295
Platelet activation	2325	71698	0.719017479867511	0.182052747051694	0.423110197835817	1.14662719329385	1	gnomAD	3.1409156613485	2325/74023
Autoimmune thyroid disease	84	6211	0.538439240674653	0.183410475851383	0.191529287711241	1.22730203002479	1	PMBB	1.334392374900715	84/6295
Wnt signaling pathway	175	6120	1.31137142692223	0.184222466382958	0.853040148233638	1.95552372285048	1	PMBB	2.779984114376489	175/6295
Nucleotide excision repair	1393	72630	1.35425848326234	0.186659536106707	0.819952236324488	2.11454219912361	1	gnomAD	1.8818475338746068	1393/74023
Toll-like receptor signaling pathway	59	6236	1.55041666154004	0.18928764456381	0.755215404228784	2.93069052799747	1	PMBB	0.9372517871326449	59/6295
African trypanosomiasis	59	6236	1.55041666154004	0.18928764456381	0.755215404228784	2.93069052799747	1	PMBB	0.9372517871326449	59/6295
Long-term depression	123	6172	1.3661854817058	0.18982142474087	0.821128540305853	2.17781605535299	1	PMBB	1.953931691818904	123/6295
Viral life cycle	30	6265	1.77604496910421	0.191638130128212	0.65635404060076	4.14374712402317	1	PMBB	0.47656870532168394	30/6295
Dopaminergic synapse	124	6171	1.35495049412451	0.192343700531563	0.814591598510801	2.15917170020298	1	PMBB	1.9698173153296268	124/6295
Toll-like receptor signaling pathway	702	73321	1.47480226579084	0.194391706557205	0.729783146377812	2.67012094401707	1	gnomAD	0.9483538900071599	702/74023
One carbon pool by folate	707	73316	1.46427309422685	0.197052007786467	0.7245951310556	2.65098204886224	1	gnomAD	0.9551085473433933	707/74023
Chemokine signaling pathway	129	6166	1.36221580366635	0.199448204704315	0.828767555886457	2.14958147294694	1	PMBB	2.049245432883241	129/6295
Metabolism of xenobiotics by cytochrome P450	543	73480	1.55937326224187	0.202043170283888	0.706549991186994	2.99777111341528	1	gnomAD	0.7335557867149399	543/74023
One carbon pool by folate	62	6233	1.47470133022543	0.204368361456453	0.720124920227855	2.77796757231351	1	PMBB	0.9849086576648134	62/6295
Biosynthesis of unsaturated fatty acids	254	73769	1.84990062155649	0.204637964700253	0.593862289465831	4.39214182361934	1	gnomAD	0.34313659268065333	254/74023
Th1 and Th2 cell differentiation	951	73072	1.38620421753307	0.205366511723983	0.751387730545963	2.35167852289843	1	gnomAD	1.28473582535158	951/74023
Inositol phosphate metabolism	1240	72783	1.36853223852524	0.207268134675719	0.804062429227376	2.18667554522883	1	gnomAD	1.6751550193858666	1240/74023
Leukocyte transendothelial migration	85	6210	1.43595675149485	0.208751225611135	0.781441799399129	2.48337239185139	1	PMBB	1.3502779984114377	85/6295
Adipocytokine signaling pathway	1886	72137	1.30164920563774	0.210374684510471	0.842539344368589	1.9284421719019	1	gnomAD	2.5478567472272133	1886/74023
Human immunodeficiency virus 1 infection	166	6129	1.28898438253595	0.212732314162056	0.825514339435088	1.94727219264848	1	PMBB	2.6370135027799844	166/6295
Fat digestion and absorption	179	6116	0.714481923159936	0.214315145202881	0.404936916626344	1.1843764728136	1	PMBB	2.8435266084193804	179/6295
Regulation of actin cytoskeleton	282	6013	1.22227296493312	0.21718529741915	0.864077756654095	1.69548416214515	1	PMBB	4.479745830023829	282/6295
Pathways of neurodegeneration	8509	65514	1.14145683125169	0.21744462183159	0.91674283350544	1.40901137021199	1	gnomAD	11.495075854801886	8509/74023
NOD-like receptor signaling pathway	1932	72091	1.26984773238405	0.218043627121859	0.821973683200181	1.88118700308656	1	gnomAD	2.60999959472056	1932/74023
D-Amino acid metabolism	1	6294	7.58824535792013	0.219426697006413	0.0966051142886082	593.010017139508	1	PMBB	0.015885623510722795	1/6295
Pertussis	50	6245	1.52305798048524	0.22374244970239	0.685902584502634	3.05383232098753	1	PMBB	0.7942811755361397	50/6295
Fatty acid degradation	212	6083	1.26318239678902	0.224809482461721	0.850429493364169	1.82850357410109	1	PMBB	3.367752184273233	212/6295
mRNA surveillance pathway	126	6169	0.657620330448647	0.225102185659459	0.318718828950065	1.224135483922	1	PMBB	2.0015885623510723	126/6295
Polycomb repressive complex	127	6168	0.65233701020161	0.226091933739589	0.316219269588311	1.21397964536317	1	PMBB	2.0174741858617953	127/6295
Inflammatory bowel disease	40	6255	0.377752782924319	0.2261568197954	0.0441486485875173	1.46138240744422	1	PMBB	0.6354249404289118	40/6295
Alcoholic liver disease	180	6115	1.27390968438184	0.229342913992995	0.829325089724554	1.89777630407924	1	PMBB	2.8594122319301034	180/6295
Tyrosine metabolism	1685	72338	1.28735014978486	0.22983983641041	0.808847133628339	1.95280374374695	1	gnomAD	2.2763195223106334	1685/74023
Renal cell carcinoma	70	6225	1.41493651864477	0.231110124451723	0.7147129439995	2.59394987164111	1	PMBB	1.1119936457505957	70/6295
Starch and sucrose metabolism	2497	71526	1.24870933326387	0.233525279604732	0.851289598239237	1.77387489791387	1	gnomAD	3.3732758737149267	2497/74023
Prolactin signaling pathway	95	6200	1.36459579582224	0.235007358304542	0.759208809538418	2.3162161579279	1	PMBB	1.5091342335186657	95/6295
ATP-dependent chromatin remodeling	1113	72910	1.3541547744275	0.237280249043484	0.767430686089225	2.22320100963367	1	gnomAD	1.50358672304554	1113/74023
Signaling pathways regulating pluripotency of stem cells	1421	72602	1.32706204236085	0.238632150160387	0.803525682545132	2.07192348601714	1	gnomAD	1.9196736149575133	1421/74023
Lipid and atherosclerosis	3106	70917	1.21771539140201	0.245464653164456	0.861116132693615	1.67801160721745	1	gnomAD	4.195993137268146	3106/74023
Steroid hormone biosynthesis	129	6166	1.30138788055613	0.249076471746205	0.783402632010657	2.07051996417447	1	PMBB	2.049245432883241	129/6295
Carbon metabolism	381	5914	1.1877784110232	0.24937209667008	0.878066734323756	1.58372687886594	1	PMBB	6.052422557585385	381/6295
Th1 and Th2 cell differentiation	77	6218	1.38539647941956	0.250520427089242	0.72027018858734	2.48195156833298	1	PMBB	1.2231930103256552	77/6295
Pertussis	661	73362	1.42286494462607	0.251759364443522	0.676452728720926	2.64763561454521	1	gnomAD	0.8929656998500466	661/74023
Long-term potentiation	58	6237	1.44420564089818	0.257281146737861	0.680620301290776	2.79341222495227	1	PMBB	0.9213661636219221	58/6295
NF-kappa B signaling pathway	104	6191	1.31954552822093	0.257426152593204	0.748559138874382	2.20382476561789	1	PMBB	1.6521048451151705	104/6295
Non-alcoholic fatty liver disease	168	6127	1.2732266059916	0.257770472813069	0.815705138566188	1.92263207287342	1	PMBB	2.66878474980143	168/6295
Efferocytosis	3832	70191	1.18492738953434	0.258173847987747	0.864249353437335	1.59079546113921	1	gnomAD	5.176769382489226	3832/74023
Fc epsilon RI signaling pathway	26	6269	1.75551992829419	0.260234159932543	0.589118000018774	4.37819321490689	1	PMBB	0.41302621127879263	26/6295
ErbB signaling pathway	82	6213	1.39443029824291	0.261984638741701	0.743008558706077	2.45086206661108	1	PMBB	1.3026211278792692	82/6295
Neutrophil extracellular trap formation	137	6158	1.28102126013489	0.263030345568963	0.780884447771117	2.0165628286363	1	PMBB	2.1763304209690233	137/6295
AGE-RAGE signaling pathway in diabetic complications	142	6153	1.29020024660782	0.26922549162876	0.795205199636684	2.01272111592196	1	PMBB	2.255758538522637	142/6295
PD-L1 expression and PD-1 checkpoint pathway in cancer	85	6210	1.34457532424067	0.273408355887743	0.717492336174593	2.35855432350077	1	PMBB	1.3502779984114377	85/6295
Fatty acid degradation	2586	71437	1.2042342410584	0.284233911295526	0.821062304061683	1.71045052451268	1	gnomAD	3.4935087742998796	2586/74023
Drug metabolism	527	73496	1.42667338948101	0.28552945579235	0.610558569796591	2.84591160794434	1	gnomAD	0.7119408832389933	527/74023
Type II diabetes mellitus	163	6132	0.739480644032954	0.28878424034209	0.410711013605853	1.24555914526769	1	PMBB	2.589356632247816	163/6295
Glycerophospholipid metabolism	92	6203	1.32522489995138	0.290279645193152	0.723458782929549	2.28261057437461	1	PMBB	1.4614773629864972	92/6295
T cell receptor signaling pathway	92	6203	1.32522489995138	0.290279645193152	0.723458782929549	2.28261057437461	1	PMBB	1.4614773629864972	92/6295
Oocyte meiosis	1784	72239	0.730540018660174	0.292280496436966	0.396713503203518	1.23649245880891	1	gnomAD	2.4100617375680535	1784/74023
Selenocompound metabolism	362	73661	1.55723145164659	0.294506214719457	0.565971744103062	3.43787997474528	1	gnomAD	0.48903719114329325	362/74023
Ribosome biogenesis in eukaryotes	75	6220	0.603919367850327	0.295513058689501	0.214127758915567	1.38334672051662	1	PMBB	1.1914217633042097	75/6295
Tryptophan metabolism	159	6136	1.24793118678511	0.29598809115474	0.78571259255661	1.91169090451625	1	PMBB	2.5258141382049244	159/6295
Glycolysis / Gluconeogenesis	214	6081	0.773725659231827	0.301734639210545	0.471907916828707	1.21106713512572	1	PMBB	3.3995234312946785	214/6295
Synaptic vesicle cycle	825	73198	1.36847829603433	0.302519584453582	0.701155559676193	2.41736975016772	1	gnomAD	1.1145184604785	825/74023
RNA degradation	139	6156	0.704732205909278	0.304977778894352	0.364314883179833	1.25257118422226	1	PMBB	2.208101667990469	139/6295
Long-term depression	1492	72531	1.26267575200344	0.306943244046831	0.764650844311018	1.97104167383656	1	gnomAD	2.0155897491320265	1492/74023
Glucagon signaling pathway	2348	71675	1.20496787664968	0.307302165987851	0.805433480968024	1.73943942980845	1	gnomAD	3.171987085095173	2348/74023
Valine, leucine and isoleucine degradation	3629	70394	1.17166509943377	0.319651179071963	0.845667283549801	1.58706161501869	1	gnomAD	4.902530294638153	3629/74023
Non-homologous end-joining	34	6261	1.56613213371867	0.322344865697707	0.584012205686576	3.60420622554345	1	PMBB	0.5401111993645751	34/6295
Fanconi anemia pathway	3059	70964	1.17225717616238	0.323405582737059	0.821319515104271	1.6279214324485	1	gnomAD	4.132499358307553	3059/74023
Arginine and proline metabolism	1225	72798	0.68481967721362	0.323989899444042	0.31120990617093	1.31107987389489	1	gnomAD	1.6548910473771665	1225/74023
Other types of O-glycan biosynthesis	628	73395	1.34677684509026	0.329502241948019	0.610656327842881	2.5864005786758	1	gnomAD	0.8483849614309066	628/74023
Histidine metabolism	81	6214	1.31614797311183	0.333772077643477	0.685743213945173	2.35127348526939	1	PMBB	1.2867355043685464	81/6295
N-Glycan biosynthesis	81	6214	1.31614797311183	0.333772077643477	0.685743213945173	2.35127348526939	1	PMBB	1.2867355043685464	81/6295
Melanogenesis	1675	72348	1.23728878803427	0.334362122908146	0.768666993815315	1.89336119936104	1	gnomAD	2.2628102076381666	1675/74023
Galactose metabolism	1688	72335	1.22753948491448	0.33680252125119	0.762626264465788	1.87844830583895	1	gnomAD	2.2803723167123735	1688/74023
DNA replication	36	6259	1.47866909934347	0.3372787024076	0.553460249159242	3.38331926698591	1	PMBB	0.5718824463860206	36/6295
Fructose and mannose metabolism	114	6181	1.27019512095484	0.33871861675252	0.733574463443587	2.08955642581614	1	PMBB	1.8109610802223988	114/6295
Salmonella infection	239	6056	1.18222558046883	0.339255944625363	0.806189608184401	1.69173169498661	1	PMBB	3.796664019062748	239/6295
Mineral absorption	2180	71843	1.2109582242165	0.339824108987004	0.797355760735258	1.7695600656293	1	gnomAD	2.945030598597733	2180/74023
Cholesterol metabolism	3328	70695	1.16280277007453	0.342213519221635	0.825963374974156	1.59636377117303	1	gnomAD	4.495899922996906	3328/74023
Protein digestion and absorption	301	5994	1.16835358868707	0.344961960939668	0.8298868809185	1.6135531315195	1	PMBB	4.781572676727562	301/6295
Nucleocytoplasmic transport	125	6170	0.724137040228716	0.346446499420237	0.362771225794711	1.31789746965712	1	PMBB	1.9857029388403495	125/6295
RIG-I-like receptor signaling pathway	37	6258	1.43848325170089	0.346574955179613	0.539340016946828	3.28273881663464	1	PMBB	0.5877680698967435	37/6295
2-Oxocarboxylic acid metabolism	1352	72671	1.25324914496135	0.347817224370493	0.736483325698853	2.0017719807122	1	gnomAD	1.826459343717493	1352/74023
Glyoxylate and dicarboxylate metabolism	1774	72249	1.22126164201891	0.348163039046959	0.767414810285575	1.85223536713514	1	gnomAD	2.396552422895587	1774/74023
Serotonergic synapse	127	6168	0.712503574006026	0.348376230093562	0.357037421271482	1.29602130424048	1	PMBB	2.0174741858617953	127/6295
Neutrophil extracellular trap formation	1776	72247	1.2198526083227	0.348512720160079	0.76653166509628	1.85009227726994	1	gnomAD	2.3992542858300796	1776/74023
JAK-STAT signaling pathway	1777	72246	1.21914928094189	0.348691764983452	0.766090837652115	1.84902254759028	1	gnomAD	2.4006052172973265	1777/74023
Type I diabetes mellitus	24	6271	0.315221811679646	0.352107454668433	0.0076586914072885	1.93831293752884	1	PMBB	0.3812549642573471	24/6295
Phosphatidylinositol signaling system	161	6134	1.23202878916613	0.3542415113828	0.775970512584266	1.88671198785583	1	PMBB	2.55758538522637	161/6295
Alcoholic liver disease	2307	71716	1.1846230309079	0.354275666983745	0.78609300301496	1.72016725752603	1	gnomAD	3.11659889493806	2307/74023
Bile secretion	3526	70497	1.15089298013025	0.355947976658354	0.824317055075406	1.56898036887547	1	gnomAD	4.763384353511746	3526/74023
Aldosterone-regulated sodium reabsorption	463	73560	1.42031727302334	0.356798722235342	0.566002820629042	2.96392985144219	1	gnomAD	0.6254812693352066	463/74023
Folate biosynthesis	217	6078	0.798303567897623	0.356969128598906	0.492350429885407	1.23866411283459	1	PMBB	3.4471803018268465	217/6295
Fc gamma R-mediated phagocytosis	62	6233	1.35018295994147	0.357533682164849	0.638393327847805	2.59977537047081	1	PMBB	0.9849086576648134	62/6295
Serotonergic synapse	1405	72618	0.729834365072512	0.357989776630688	0.361996840367433	1.31724616417775	1	gnomAD	1.8980587114815664	1405/74023
Coronavirus disease	211	6084	1.1938425062206	0.360179013501175	0.794926600882299	1.74373807794842	1	PMBB	3.35186656076251	211/6295
Lysine degradation	1867	72156	1.21090120552495	0.360198605421109	0.769033097725103	1.82120150552981	1	gnomAD	2.5221890493495267	1867/74023
Inflammatory mediator regulation of TRP channels	90	6205	1.26886899137958	0.360382002432644	0.678644717274843	2.21920650385383	1	PMBB	1.4297061159650517	90/6295
Primary bile acid biosynthesis	63	6232	1.32854254048542	0.362929016793526	0.628635769354303	2.55541703596659	1	PMBB	1.0007942811755361	63/6295
Other glycan degradation	100	6195	0.679143179138974	0.364648864211823	0.300592047652103	1.34861685155222	1	PMBB	1.5885623510722795	100/6295
Signaling pathways regulating pluripotency of stem cells	131	6164	1.2213738296923	0.372484763033637	0.727228314016853	1.95903681462938	1	PMBB	2.0810166799046863	131/6295
Ribosome	121	73902	1.55011100680842	0.373410676089734	0.185271551327304	5.74040221463964	1	gnomAD	0.16346270753684666	121/74023
GnRH signaling pathway	1514	72509	0.738701043570922	0.374138664763125	0.379172178278893	1.30166857938697	1	gnomAD	2.0453102414114532	1514/74023
Progesterone-mediated oocyte maturation	780	73243	0.598100168872777	0.375201849699673	0.193116972733421	1.40769391282342	1	gnomAD	1.0537265444524	780/74023
beta-Alanine metabolism	142	6153	0.743451838581556	0.375800865507366	0.394377497390611	1.29693796885805	1	PMBB	2.255758538522637	142/6295
Fc gamma R-mediated phagocytosis	779	73244	1.32766107955345	0.376588812564307	0.657255370575964	2.40212509724818	1	gnomAD	1.0523756129851534	779/74023
Notch signaling pathway	43	6252	1.41495599144781	0.377230495074486	0.572518284973155	3.05846975911376	1	PMBB	0.6830818109610802	43/6295
cAMP signaling pathway	434	5861	0.865697238337198	0.378846116246013	0.626630264161525	1.17440647744634	1	PMBB	6.894360603653693	434/6295
Arginine biosynthesis	790	73233	1.30897822572448	0.380172457483718	0.648042847701205	2.36812245420221	1	gnomAD	1.0672358591248665	790/74023
Phenylalanine, tyrosine and tryptophan biosynthesis	1140	72883	1.23739623581043	0.383029370822313	0.686886373128704	2.06252696533102	1	gnomAD	1.5400618726611999	1140/74023
Caffeine metabolism	124	73899	1.51253895808509	0.384661293119048	0.180828259821274	5.59779045663585	1	gnomAD	0.16751550193858666	124/74023
Type I diabetes mellitus	303	73720	0.308382645689629	0.387937731424962	0.0077750104556286	1.73618404012993	1	gnomAD	0.40933223457574003	303/74023
Biotin metabolism	517	73506	0.541977484971728	0.38799382632308	0.111149384802325	1.59860031958311	1	gnomAD	0.6984315685665267	517/74023
Pyruvate metabolism	1614	72409	0.750606423878423	0.388845748636158	0.397000546107894	1.29489230051677	1	gnomAD	2.18040338813612	1614/74023
JAK-STAT signaling pathway	143	6152	1.22608553750565	0.390247001325057	0.748382124825894	1.92690531179856	1	PMBB	2.27164416203336	143/6295
Legionellosis	45	6250	1.3516490396626	0.391959758998475	0.548345541595956	2.91054849689342	1	PMBB	0.7148530579825259	45/6295
Phenylalanine, tyrosine and tryptophan biosynthesis	154	6141	0.783840433469938	0.398887838346475	0.434789165557972	1.32253675040193	1	PMBB	2.4463860206513104	154/6295
Aminoacyl-tRNA biosynthesis	2216	71807	0.798540002034622	0.399724070807656	0.477173811908246	1.2586560582701	1	gnomAD	2.993664131418613	2216/74023
Acute myeloid leukemia	555	73468	1.35420925549194	0.400901835884043	0.579682059610783	2.70032877640523	1	gnomAD	0.7497669643218999	555/74023
Citrate cycle (TCA cycle)	1238	72785	1.21534135560704	0.402799979085749	0.688977036744413	1.99443665011109	1	gnomAD	1.6724531564513732	1238/74023
Arginine biosynthesis	76	6219	1.30199634556574	0.403414917599337	0.660023425039168	2.37528424950729	1	PMBB	1.2073073868149324	76/6295
Endocytosis	1726	72297	1.19988363512349	0.405257901860369	0.745479272548774	1.83601530435619	1	gnomAD	2.3317077124677463	1726/74023
SNARE interactions in vesicular transport	130	73893	1.44261607864976	0.40689099457055	0.17254985370801	5.33445276568453	1	gnomAD	0.17562109074206667	130/74023
Staphylococcus aureus infection	164	6131	0.781735260526175	0.410733825905813	0.442178708159188	1.29902874003148	1	PMBB	2.6052422557585384	164/6295
Nitrogen metabolism	27	6268	1.40687651375859	0.412974314372705	0.421898457369135	3.71966566448683	1	PMBB	0.4289118347895155	27/6295
Virion	333	73690	1.40946159099609	0.413852388954167	0.453399746400571	3.33636257183682	1	gnomAD	0.4498601785931399	333/74023
Necroptosis	159	6136	1.19844510850026	0.414263415207734	0.748022447157297	1.84854511896897	1	PMBB	2.5258141382049244	159/6295
RNA degradation	909	73114	1.24061237911407	0.416260093624024	0.635863913264028	2.19033710228663	1	gnomAD	1.22799670372722	909/74023
Sphingolipid metabolism	171	6124	0.793905122934212	0.421002439298648	0.456924579157393	1.3016419153597	1	PMBB	2.716441620333598	171/6295
alpha-Linolenic acid metabolism	13	6282	1.7527790812425	0.42127068970028	0.319731204497134	6.3975978308097	1	PMBB	0.20651310563939632	13/6295
Starch and sucrose metabolism	222	6073	1.16842210963386	0.426621277374919	0.783342173667147	1.69639948291434	1	PMBB	3.5266084193804605	222/6295
Tryptophan metabolism	1936	72087	1.16662848507725	0.432601546926947	0.740954354261342	1.75442726344891	1	gnomAD	2.6154033205895466	1936/74023
Protein processing in endoplasmic reticulum	173	6122	1.18981861044414	0.432897086524703	0.757052296988568	1.80591989601502	1	PMBB	2.7482128673550434	173/6295
Natural killer cell mediated cytotoxicity	86	6209	1.23864451428064	0.433173145027987	0.646905412900067	2.20574247236566	1	PMBB	1.3661636219221605	86/6295
Adipocytokine signaling pathway	174	6121	1.18278668170343	0.434192526931703	0.752696904032175	1.79491191053529	1	PMBB	2.7640984908657664	174/6295
Toxoplasmosis	2560	71463	1.14014478592654	0.434797516681445	0.767485266142695	1.63632986287969	1	gnomAD	3.4583845561514663	2560/74023
Protein processing in endoplasmic reticulum	2005	72018	1.17382591790133	0.439322819223555	0.752953528245302	1.75148447938255	1	gnomAD	2.7086175918295665	2005/74023
Various types of N-glycan biosynthesis	1006	73017	1.21435687338835	0.439901195637465	0.641391610068598	2.0985111092	1	gnomAD	1.3590370560501466	1006/74023
Phosphonate and phosphinate metabolism	55	73968	1.70450578068226	0.448274814598535	0.0423408741098801	9.92858534288258	1	gnomAD	0.07430123069856666	55/74023
Base excision repair	136	6159	1.17551331861404	0.452595946732314	0.700719607100309	1.88273251030552	1	PMBB	2.1604447974583003	136/6295
PPAR signaling pathway	190	6105	1.16327243058139	0.453564558890286	0.753180434377461	1.73959949821126	1	PMBB	3.0182684670373314	190/6295
Fanconi anemia pathway	252	6043	1.15051584330351	0.454093878643303	0.789146594164695	1.63780677376305	1	PMBB	4.003177124702145	252/6295
Glycosphingolipid biosynthesis	408	73615	0.457974442326956	0.458710252009228	0.055180010970074	1.67043109232606	1	gnomAD	0.55118003863664	408/74023
RNA polymerase	34	6261	1.340811611923	0.459486138277076	0.458708812498798	3.24401470960497	1	PMBB	0.5401111993645751	34/6295
